subject,difficulty,answer_type,language,n
chemistry,olympiad,exact,en,2
chemistry,olympiad,exact,ru,2
chemistry,olympiad,mc,en,6
chemistry,olympiad,mc,ru,6
chemistry,olympiad,numeric,en,10
chemistry,olympiad,numeric,ru,10
chemistry,school,exact,en,16
chemistry,school,exact,ru,16
chemistry,school,mc,en,34
chemistry,school,mc,ru,34
chemistry,school,numeric,en,28
chemistry,school,numeric,ru,28
chemistry,university,exact,en,12
chemistry,university,exact,ru,12
chemistry,university,mc,en,34
chemistry,university,mc,ru,34
chemistry,university,numeric,en,38
chemistry,university,numeric,ru,38
math,olympiad,exact,en,16
math,olympiad,exact,ru,16
math,olympiad,mc,en,20
math,olympiad,mc,ru,20
math,school,exact,en,10
math,school,exact,ru,10
math,school,mc,en,26
math,school,mc,ru,26
math,school,numeric,en,62
math,school,numeric,ru,62
math,university,exact,en,6
math,university,exact,ru,6
math,university,mc,en,62
math,university,mc,ru,62
math,university,numeric,en,42
math,university,numeric,ru,42
physics,olympiad,exact,en,4
physics,olympiad,exact,ru,4
physics,olympiad,mc,en,18
physics,olympiad,mc,ru,18
physics,olympiad,numeric,en,8
physics,olympiad,numeric,ru,8
physics,school,exact,en,10
physics,school,exact,ru,10
physics,school,mc,en,28
physics,school,mc,ru,28
physics,school,numeric,en,42
physics,school,numeric,ru,42
physics,university,exact,en,8
physics,university,exact,ru,8
physics,university,mc,en,40
physics,university,mc,ru,40
physics,university,numeric,en,42
physics,university,numeric,ru,42
